No.	NAME	Me	O%	Psi_i_A	Psi_e_A	MPC10	X4Av	VR1_D/Dt	J_Dz(e)	J_Dz(i)	VE1sign_B(m)	VE2sign_B(m)	SpPosA_B(e)	VE1sign_B(e)	VE2sign_B(e)	VE1sign_B(i)	VE2sign_B(i)	AVS_B(s)	ChiA_B(s)	SpPosA_B(s)	SpMAD_B(s)	SM3_B(s)	SM4_B(s)	SM5_B(s)	SM6_B(s)	ATSC2s	MATS8m	MATS8e	MATS8s	SpMax2_Bh(s)	P_VSA_LogP_2	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_m_3	P_VSA_v_2	P_VSA_e_5	P_VSA_p_2	P_VSA_ppp_A	Eta_epsi_A	Eta_L_A	Eta_FL_A	SM08_AEA(dm)	SM09_AEA(dm)	SM09_AEA(ri)	SM10_AEA(ri)	Eig14_EA	Eig15_EA	Eig14_EA(ed)	Eig15_EA(ed)	Eig14_EA(bo)	Eig15_EA(bo)	Eig02_EA(dm)	Eig15_EA(dm)	Eig14_EA(ri)	Eig15_EA(ri)	Eig14_AEA(bo)	Eig14_AEA(dm)	Eig15_AEA(dm)	Eig14_AEA(ri)	Eig15_AEA(ri)	PJI3	VE1sign_G	VE1sign_RG	TDB01s	TDB02s	TDB03s	TDB04s	Mor06m	Mor06v	Mor28v	Mor03p	Mor28p	Mor06s	Mor14s	Mor21s	Mor31s	G1u	G3u	G1m	G1v	G1e	G1p	G1i	G3i	G1s	Gu	Gm	R5m	R5m+	R4p	R5p	nCconj	nRCOOR	nROR	nO(C=O)2	nCH2RX	C-015	C-018	C-040	O-059	O-060	SdCH2	SdssC	NdCH2	NdssC	B02[O-O]	B05[O-Cl]	F02[O-O]	F05[O-Cl]	Qmean	Q2	LDI	TPSA(NO)	SAacc	CATS3D_04_AA	Molecule	U	V
69	*****	0.987	0.0	3.033	8.533	0.000	0.000		3.3821	3.4035	0.208	0.042	1.383	0.207	0.041	0.228	0.046	5.214	0.199	3.057	2.011	6.030	7.841	9.698	11.581	7.807	0.000	0.000	0.000	4.619	15.767	16.602	34.245	0.000	31.059	0.000	31.059	31.059	0.540	0.194	0.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.757	0.106	0.351	5.352	7.415	15.185	12.786	-0.048	-0.176	-0.039	0.160	-0.057	-4.751	2.173	-0.532	0.346	0.231	0.611	0.231	0.231	0.231	0.231	0.231	0.611	0.231	0.320	0.338	0.000	0.000	0.228	0.000	0	0	0	0	0	1	0	1	0	0	3.312	0.560	1	1	0	0	0	0	0.061	0.062	0.108	23.790	31.059	0	methacrylonitrile.mol2	-2.08	0.44
70	*****	0.974	0.0	2.000	7.500	1.946	0.049	12.655	2.8761	2.8761	0.043	0.004	1.364	0.043	0.004	0.043	0.004	4.673	0.212	2.100	1.694	5.821	7.216	8.636	10.079	6.172	1.200	1.200	0.964	4.636	15.767	0.000	8.332	0.000	0.000	0.000	0.000	0.000	0.518	0.177	0.316	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.791	0.044	0.126	3.976	6.325	7.977	10.523	1.261	0.658	0.039	-1.279	0.017	-1.262	0.357	-1.609	0.526	0.183	1.000	0.211	0.211	0.183	0.183	0.211	1.000	0.183	0.352	0.338	0.127	0.017	0.364	0.294	2	0	0	0	0	1	0	0	0	0	3.781	0.000	1	0	0	0	0	0	0.055	0.073	0.067	0.000	0.000	0	N-methylCinnamonitrile.mol2	-2.08	0.44
71	*****	0.980	0.0	2.106	7.606	1.099	0.055	10.636	2.7287	2.7507	0.115	0.010	1.351	0.114	0.010	0.115	0.010	4.586	0.216	2.167	1.602	5.810	7.243	8.713	10.210	9.142	-0.101	-0.100	-0.100	4.748	0.000	16.602	19.358	0.000	16.173	0.000	16.173	16.173	0.529	0.168	0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.962	0.246	0.302	4.178	6.442	8.196	10.157	0.329	-0.092	0.004	-0.328	-0.009	-3.953	1.594	-1.456	0.771	0.215	0.314	0.185	0.185	0.185	0.185	0.185	0.314	0.185	0.254	0.252	0.080	0.013	0.270	0.192	2	0	0	0	0	0	0	1	0	0	0.000	0.000	0	0	0	0	0	0	0.089	0.260	0.109	14.100	0.000	0	naphtalene,1-vinyl.mol2	-0.83	0.16
72	*****	1.020	10.0	2.744	8.244	1.609	0.036	13.626	2.7925	2.8684	0.000	0.000	1.404	0.000	0.000	0.000	0.000	5.352	0.200	2.828	2.130	6.994	8.874	10.809	12.775	11.951	1.778	0.484	0.442	7.408	27.939	59.699	6.371	50.290	53.414	50.290	53.414	53.414	0.657	0.178	0.303	-2.000	0.000	-7.137	0.000	-2.000	0.000	-7.137	0.000	-3.000	0.000	0.800	0.000	-2.000	0.000	-0.808	-2.000	0.000	-1.000	0.000	0.711	0.067	0.117	5.074	9.355	14.730	26.883	-0.425	-0.374	-0.025	-0.796	-0.045	-6.731	-0.800	-1.711	1.183	0.188	1.000	0.188	0.188	0.188	0.188	0.188	1.000	0.188	0.328	0.328	0.155	0.031	0.308	0.185	2	0	0	0	0	1	1	2	0	0	3.411	-0.591	1	2	0	0	0	0	0.105	0.374	0.178	39.070	53.414	1	p-Vinylbenzoicacid.mol2	-1.03	0.50
73	*****	1.069	0.0	3.097	8.597	0.000	0.000		3.8724	3.7014	0.062	0.010	1.372	0.362	0.060	0.392	0.065	5.039	0.196	3.137	1.698	5.855	7.359	8.881	10.417	17.055	0.000	0.000	0.000	4.528	15.767	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.795	0.292	0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.665	0.103	0.150	6.010	20.260	18.508	16.871	2.897	0.692	-0.080	-0.807	-0.091	5.582	-1.129	0.663	-0.064	0.240	1.000	0.240	0.240	0.240	0.240	0.240	1.000	0.240	0.386	0.326	0.000	0.000	0.306	0.000	0	0	0	0	0	1	0	0	0	0	3.236	0.000	1	0	0	0	0	0	0.084	0.083	0.197	0.000	0.000	0	phthalimide,N-vinyl	-0.33	-0.80
74	*****	1.010	10.5	2.818	8.318	0.000	0.048	10.515	3.0697	3.0488	0.070	0.006	1.382	0.070	0.006	0.080	0.007	5.277	0.202	2.892	2.135	6.787	8.613	10.495	12.413	28.336	-0.980	-1.074	-1.172	6.351	15.767	68.738	6.371	67.828	67.828	67.828	67.828	67.828	0.612	0.171	0.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.915	0.214	0.000	5.386	11.289	12.767	17.451	0.164	-0.095	0.150	-0.643	0.180	-8.153	-3.742	0.682	-0.447	0.224	0.508	0.191	0.191	0.191	0.191	0.191	0.367	0.191	0.279	0.211	0.107	0.023	0.400	0.226	3	0	0	0	0	1	0	1	0	0	3.558	-0.902	1	1	1	0	1	0	0.117	0.541	0.194	37.300	67.828	0	Propene,3,3,3-trichloro.mol2	-2.35	-0.84
75	*****	0.980	0.0	2.148	7.648	0.000	0.052	8.664	3.2202	3.3236	0.181	0.020	1.339	0.181	0.020	0.172	0.019	4.590	0.213	2.219	1.592	5.613	7.023	8.465	9.931	7.116	0.000	0.000	0.000	4.559	15.767	16.786	5.513	0.000	16.786	0.000	16.786	16.786	0.522	0.181	0.299	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.081	0.286	4.091	6.539	8.853	9.773	0.494	0.001	-0.094	-0.576	-0.119	-2.351	-0.676	-0.872	1.033	0.230	0.678	0.193	0.230	0.193	0.193	0.193	0.678	0.193	0.311	0.311	0.074	0.023	0.299	0.230	2	0	0	0	0	1	0	0	0	0	3.610	0.000	1	0	0	0	0	0	0.061	0.112	0.107	12.890	16.786	0	pyridine,2-methyl-5-vinyl.mol2	-1.04	0.28
76	*****	0.980	0.0	2.130	7.630	0.000	0.058	8.630	2.8297	2.8926	0.037	0.004	1.348	0.037	0.004	0.028	0.003	4.526	0.221	2.188	1.642	5.604	7.006	8.435	9.881	8.347	0.000	0.000	0.000	4.531	17.873	2.757	16.786	0.000	16.786	0.000	16.786	16.786	0.522	0.203	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.798	0.125	0.138	4.037	6.562	8.346	9.187	0.807	0.399	-0.172	-0.543	-0.196	-0.879	2.149	-0.950	0.993	0.230	0.308	0.193	0.193	0.193	0.193	0.193	0.308	0.193	0.239	0.205	0.077	0.024	0.419	0.257	7	0	0	0	0	1	0	0	0	0	3.616	0.958	1	1	0	0	0	0	0.072	0.140	0.109	12.360	16.786	0	Pyridine,2-vinyl-5-ethyl-.mol2	-0.20	0.12
77	*****	0.977	0.0	2.083	7.583	0.000	0.054	9.736	3.1091	3.2009	0.117	0.012	1.316	0.118	0.012	0.108	0.011	4.483	0.221	2.151	1.617	5.657	7.054	8.484	9.940	7.629	0.904	0.505	0.654	4.554	18.301	16.786	5.513	0.000	16.786	0.000	16.786	16.786	0.510	0.223	0.263	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.895	0.117	0.171	3.822	5.936	7.939	9.984	0.330	-0.191	-0.025	-0.700	-0.035	-4.075	-0.041	-0.846	1.343	0.215	0.276	0.185	0.185	0.185	0.185	0.185	0.276	0.185	0.254	0.212	0.113	0.018	0.365	0.308	2	0	0	0	0	1	0	0	0	0	3.644	0.000	1	0	0	0	0	0	0.057	0.116	0.103	12.890	16.786	0	Pyridine,2-vinyl.mol2	-0.98	0.32
78	*****	0.984	0.0	2.208	7.708	0.000	0.050	7.596	3.0701	3.1229	0.052	0.007	1.337	0.053	0.007	0.046	0.006	4.679	0.213	2.281	1.687	5.557	6.979	8.429	9.898	5.969	0.000	0.000	0.000	4.617	15.767	40.328	21.280	0.000	16.786	0.000	16.786	16.786	0.540	0.161	0.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.931	0.051	0.129	4.460	6.966	8.356	10.224	0.459	0.027	-0.048	-0.491	-0.052	-1.935	-0.704	-0.427	0.524	0.204	1.000	0.204	0.204	0.204	0.204	0.204	0.856	0.204	0.346	0.322	0.060	0.030	0.355	0.205	2	0	0	0	0	1	0	0	0	0	3.603	0.000	1	0	0	0	0	0	0.069	0.119	0.103	12.890	16.786	0	Pyridine-4-vinyl.mol2	-0.94	0.30
79	*****	1.011	0.0	2.422	7.922	0.000	0.065	9.625	3.3225	3.2800	0.051	0.005	1.371	0.045	0.005	0.044	0.004	4.842	0.206	2.504	1.740	5.990	7.454	8.944	10.453	4.839	0.000	0.000	0.000	4.696	15.767	0.000	10.187	0.000	0.000	0.000	0.000	0.000	0.636	0.201	0.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.816	0.020	0.127	4.997	8.668	12.106	16.220	2.408	0.995	0.057	-1.241	0.050	4.388	-0.215	-1.334	0.292	0.242	0.242	0.200	0.242	0.200	0.222	0.200	0.242	0.200	0.256	0.213	0.614	0.407	0.543	0.363	2	0	0	0	0	1	0	0	0	0	3.590	0.000	1	0	0	0	0	0	0.056	0.058	0.088	0.000	0.000	0	Styrene,2,5-dichloro.mol2	-1.98	0.67
80	*****	0.984	4.3	2.136	7.636	0.000	0.059	10.627	2.9513	2.9100	0.098	0.009	1.321	0.098	0.009	0.095	0.009	4.501	0.220	2.204	1.604	5.789	7.190	8.617	10.062	12.001	0.899	0.287	0.617	4.651	15.767	11.000	3.186	11.000	11.000	11.000	11.000	11.000	0.525	0.215	0.274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.807	0.095	0.277	3.973	6.158	8.179	9.848	0.611	-0.011	-0.002	-0.400	-0.053	-4.196	2.259	-1.396	0.375	0.207	0.207	0.207	0.181	0.207	0.181	0.207	0.181	0.233	0.198	0.207	0.177	0.023	0.461	0.417	0	0	1	0	0	1	0	0	1	0	3.683	0.000	1	0	0	0	0	0	0.073	0.222	0.104	9.230	11.000	0	styrene,a-methoxy	0.41	-0.49
81	*****	0.981	3.8	2.264	7.764	0.000	0.063	11.518	2.7389	2.7296	0.077	0.006	1.330	0.077	0.006	0.079	0.007	4.617	0.220	2.350	1.781	6.237	7.853	9.534	11.263	11.355	-0.127	-0.055	0.250	4.849	18.301	0.000	6.371	42.683	42.683	42.683	42.683	42.683	0.514	0.240	0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.744	0.214	0.247	3.834	6.195	8.128	8.917	0.904	0.162	0.013	-0.663	-0.025	-4.264	1.511	-1.300	0.393	0.175	0.268	0.175	0.175	0.198	0.175	0.175	0.219	0.175	0.210	0.197	0.152	0.021	0.510	0.328	2	0	0	0	0	1	0	0	0	0	3.672	0.000	1	0	0	0	0	0	0.068	0.264	0.099	20.230	42.683	0	Styrene,p-1-(2hydroxypropyl).mol2	-0.60	0.16
82	*****	0.985	4.2	2.208	7.708	0.000	0.049	11.518	3.0266	2.9459	0.087	0.007	1.353	0.088	0.007	0.097	0.008	4.630	0.212	2.274	1.618	5.950	7.364	8.809	10.278	10.748	-0.598	-0.084	0.025	4.769	31.534	5.243	19.429	11.000	11.000	11.000	11.000	11.000	0.532	0.194	0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.914	0.014	0.322	4.206	6.992	9.465	10.252	0.534	0.055	-0.105	-0.653	-0.112	-2.695	-0.575	-1.329	0.750	0.179	1.000	0.179	0.179	0.179	0.179	0.179	1.000	0.179	0.332	0.318	0.096	0.013	0.310	0.239	2	0	0	0	0	2	0	0	0	1	7.314	0.696	2	1	0	0	0	0	0.071	0.297	0.127	9.230	11.000	0	styrene,p-acetoxy.mol2	-0.44	0.07
83	*****	0.986	0.0	2.194	7.694	0.000	0.066	9.517	2.9372	2.9215	0.037	0.004	1.333	0.020	0.002	0.018	0.002	4.594	0.218	2.275	1.714	5.791	7.215	8.662	10.126	7.192	-0.445	-0.550	-0.396	4.692	18.616	0.000	6.371	0.000	0.000	0.000	0.000	0.000	0.547	0.220	0.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.031	0.126	4.115	6.597	8.783	10.602	0.626	0.185	-0.033	-0.771	-0.060	-2.902	0.118	-0.999	0.563	0.191	0.341	0.191	0.191	0.191	0.191	0.191	0.258	0.191	0.231	0.243	0.125	0.052	0.521	0.248	2	0	0	0	1	1	0	0	0	0	3.653	0.000	1	0	0	0	0	0	0.059	0.074	0.070	0.000	0.000	0	Styrene,p-chloromethyl.mol2	-0.62	0.21
84	*****	0.969	0.0	2.037	7.537	0.000	0.059	8.532	3.0098	3.0098	0.075	0.008	1.327	0.075	0.008	0.075	0.008	4.479	0.218	2.120	1.570	5.506	6.884	8.293	9.725	6.070	0.900	0.900	0.727	4.527	15.767	0.000	6.371	0.000	0.000	0.000	0.000	0.000	0.489	0.191	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.862	0.066	0.303	3.777	5.742	7.793	8.545	0.726	0.244	-0.007	-0.479	-0.033	-1.867	0.601	-1.151	0.947	0.191	1.000	0.224	0.224	0.191	0.224	0.191	1.000	0.191	0.331	0.369	0.042	0.013	0.378	0.180	2	0	0	0	0	1	0	0	0	0	3.661	0.000	1	0	0	0	0	0	0.053	0.058	0.067	0.000	0.000	0	styrene,p-methyl.mol2	-0.20	0.08
85	*****	0.971	0.0	2.083	7.583	0.000	0.059	7.596	2.9910	2.9910	0.061	0.008	1.323	0.061	0.008	0.061	0.008	4.554	0.218	2.164	1.667	5.443	6.830	8.244	9.677	5.327	0.000	0.000	0.000	4.528	15.767	0.000	3.186	0.000	0.000	0.000	0.000	0.000	0.500	0.171	0.320	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.093	0.183	3.932	6.116	7.472	9.394	0.438	0.003	0.074	-0.063	0.103	-2.508	-0.808	-0.467	-0.493	0.286	0.337	0.286	0.286	0.286	0.286	0.242	0.286	0.200	0.328	0.254	0.045	0.018	0.325	0.200	2	0	0	0	0	1	0	0	0	0	3.631	0.000	1	0	0	0	0	0	0.060	0.060	0.073	0.000	0.000	0	Styrene.mol2	0.00	0.00
86	*****	1.025	12.5	3.037	8.537	0.000	0.050	8.608	3.0779	3.2392	0.260	0.029	1.407	0.261	0.029	0.272	0.030	5.386	0.209	3.083	2.316	6.869	8.797	10.763	12.748	19.562	0.000	0.000	0.000	7.409	33.008	59.699	0.000	50.290	53.414	50.290	53.414	53.414	0.646	0.235	0.238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.798	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.880	0.147	0.129	4.841	8.536	14.153	31.258	-0.362	-0.394	0.011	-0.667	-0.026	-4.231	-0.579	-1.800	1.322	0.286	1.000	0.200	0.242	0.242	0.242	0.242	1.000	0.200	0.385	0.354	0.048	0.009	0.277	0.169	0	0	0	0	0	1	1	2	0	0	3.328	-0.287	1	2	0	0	0	0	0.106	0.327	0.184	37.380	53.414	1	succinimide,n-vinyl.mol2	0.75	-1.02
87	*****	1.037	0.0	2.571	8.071	0.000	0.028	6.799	3.5152	3.9520	0.070	0.010	1.432	0.070	0.010	0.075	0.011	5.043	0.197	2.589	1.667	5.692	7.186	8.717	10.273	4.000	0.000	0.000	0.000	4.632	24.814	70.134	1.777	0.000	51.521	0.000	51.521	51.521	0.700	0.161	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.648	0.039	0.127	6.387	9.537	11.530	15.760	-0.231	-0.269	-0.107	0.096	-0.110	-2.686	-1.353	0.595	0.611	0.224	1.000	0.224	0.224	0.224	0.224	0.224	1.000	0.224	0.369	0.388	0.021	0.007	0.169	0.066	2	0	0	0	0	1	1	0	0	0	3.424	0.000	1	0	0	0	0	0	0.085	0.111	0.145	43.600	49.744	0	tetrazole,1-vinyl.mol2	-0.78	-0.59
88	*****	1.010	8.3	2.737	8.237	0.000	0.090	12.646	3.4854	3.3222	0.103	0.008	1.384	0.186	0.014	0.203	0.016	5.207	0.203	2.830	2.145	6.980	8.855	10.787	12.754	35.168	0.511	0.310	0.206	6.999	24.814	44.313	3.069	44.313	45.832	44.313	45.832	45.832	0.608	0.188	0.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.580	0.050	0.183	4.242	11.427	13.671	19.909	3.152	0.833	0.048	-0.925	-0.015	4.962	3.381	-0.587	0.757	0.204	0.228	0.179	0.179	0.179	0.179	0.204	0.179	0.179	0.212	0.187	0.256	0.042	0.581	0.362	0	0	0	0	0	1	1	0	0	0	3.399	0.000	1	0	1	0	1	0	0.071	0.167	0.110	37.380	45.832	0	toluenesulfonamide,N,N-vinyl,methyl.mol2	-0.40	0.66
89	*****	1.027	16.7	3.011	8.511	2.079	0.044		5.4432	5.2803	0.293	0.013	1.384	0.293	0.013	0.296	0.013	5.229	0.209	3.043	2.159	7.595	9.454	11.365	13.308	72.684	-0.198	-0.272	-0.101	7.430	66.147	97.009	33.000	151.118	151.118	151.118	151.118	151.118	0.637	0.244	0.228	-1.000	-1.000	-1.807	-1.823	-1.000	-1.000	-1.807	-1.823	-1.379	-1.396	2.454	-0.538	-0.985	-0.989	0.362	-0.291	-0.314	-0.009	-0.012	0.754	0.115	0.008	4.939	9.539	13.726	19.523	-0.033	-0.571	-0.202	-1.645	-0.260	-8.040	0.556	-2.795	0.290	0.192	0.169	0.156	0.156	0.156	0.156	0.192	0.180	0.169	0.180	0.168	0.395	0.053	0.334	0.258	0	3	0	0	0	3	0	3	0	3	10.075	-2.901	3	3	1	0	3	0	0.141	1.507	0.244	99.130	151.118	5	triallylcitrate.mol2	-0.49	-1.30
90	*****	1.014	7.7	2.602	8.102	0.000	0.108		2.9510	2.7901	0.119	0.020	1.326	0.073	0.012	0.076	0.013	4.477	0.232	2.602	1.663	5.523	6.986	8.470	9.967	14.348	0.000	0.000	0.000	4.664	34.743	11.000	0.000	11.000	11.000	11.000	11.000	11.000	0.596	0.302	0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.796	0.073	0.111	4.560	7.131	9.926	11.391	0.513	-0.181	-0.065	-0.333	-0.092	-1.754	0.732	-0.355	0.826	0.213	1.000	0.213	0.213	0.213	0.213	0.213	1.000	0.213	0.356	0.356	0.111	0.083	0.186	0.181	0	0	1	0	1	1	1	0	1	0	3.317	0.000	1	0	0	0	0	0	0.105	0.319	0.158	9.230	11.000	0	Vinyl2-chloroethylether.mol2	1.18	-2.06
91	*****	1.025	16.7	3.194	8.694	0.000	0.059		3.7074	3.4818	0.369	0.062	1.402	0.370	0.062	0.385	0.064	5.241	0.201	3.194	2.022	6.352	8.222	10.148	12.107	17.775	0.000	0.000	0.000	4.860	27.301	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.628	0.199	0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.948	0.070	0.295	5.481	11.245	13.754	19.644	-0.119	-0.342	-0.002	0.289	-0.031	-4.553	-0.854	-0.444	0.885	0.218	0.726	0.218	0.218	0.218	0.218	0.218	1.000	0.218	0.354	0.311	0.034	0.008	0.145	0.137	0	1	0	0	0	1	1	1	0	1	3.158	-0.329	1	1	1	0	1	0	0.125	0.380	0.228	26.300	36.145	0	Vinylacetate.mol2	-0.44	-1.56
92	*****	1.010	10.5	2.621	8.121	0.000	0.045	10.629	3.0060	2.9300	0.011	0.001	1.374	0.012	0.001	0.025	0.002	5.061	0.206	2.682	1.953	6.568	8.361	10.232	12.156	15.889	0.518	0.250	0.215	4.869	27.301	32.336	14.185	36.145	36.145	36.145	36.145	36.145	0.612	0.176	0.310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.760	0.147	0.130	5.019	9.587	11.392	18.677	0.269	-0.281	-0.004	-0.345	-0.031	-6.178	-2.484	-1.051	1.090	0.208	0.684	0.191	0.191	0.191	0.191	0.208	0.558	0.191	0.317	0.262	0.153	0.031	0.287	0.196	1	0	0	0	0	1	1	1	0	1	3.283	-0.374	1	1	1	0	1	0	0.107	0.431	0.179	26.300	36.145	0	VinylBenzoate.mol2	-0.86	1.45
93	*****	0.984	4.3	2.318	7.818	0.000	0.060	10.627	2.8582	2.8462	0.085	0.008	1.326	0.085	0.008	0.086	0.008	4.683	0.220	2.399	1.804	6.208	7.835	9.521	11.252	13.090	0.899	0.287	0.343	4.790	15.767	0.000	3.186	42.683	42.683	42.683	42.683	42.683	0.525	0.233	0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.761	0.119	0.065	4.057	6.170	7.947	11.335	0.763	0.218	-0.002	-1.097	-0.021	-4.202	2.363	-0.765	0.091	0.181	0.207	0.181	0.207	0.207	0.181	0.181	0.181	0.181	0.198	0.210	0.191	0.027	0.518	0.418	0	0	0	0	0	1	0	0	0	0	3.648	0.000	1	0	0	0	0	0	0.080	0.276	0.104	20.230	42.683	0	vinylbenzylmethylcarbinol	-0.66	0.18
94	*****	0.999	0.0	2.583	8.083	0.000	0.000		2.3826	2.2465	0.071	0.024	1.338	0.261	0.087	0.275	0.092	4.327	0.228	2.583	1.370	4.686	6.079	7.503	8.945	3.830	0.000	0.000	0.000	3.182	25.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.368	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808	0.134	0.165	5.376	7.808	6.088	0.000	0.612	0.009	-0.042	-0.189	-0.052	-0.554	0.133	0.027	0.303	0.279	1.000	0.279	0.279	0.279	0.279	0.279	1.000	0.279	0.427	0.427	0.000	0.000	0.000	0.000	0	0	0	0	0	1	1	0	0	0	3.278	0.000	1	0	0	0	0	0	0.059	0.023	0.097	0.000	0.000	0	Vinylbromide.mol2	-0.82	1.27
95	*****	0.967	0.0	1.905	7.405	0.000	0.311		2.6374	2.4688	0.075	0.011	1.241	0.148	0.021	0.160	0.023	3.799	0.267	1.941	1.350	4.990	6.289	7.631	9.001	4.500	0.415	0.472	0.396	4.141	29.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.443	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.968	0.257	0.192	3.107	4.146	4.909	7.240	1.502	0.704	-0.199	-1.596	-0.240	0.839	1.453	-0.923	1.327	0.191	0.317	0.191	0.191	0.191	0.191	0.191	0.241	0.191	0.250	0.257	0.055	0.012	0.304	0.198	0	0	0	0	0	1	1	0	0	0	3.595	0.000	1	0	0	0	0	0	0.045	0.055	0.078	0.000	0.000	0	vinylbutylsulfide.mol2	0.14	-0.43
96	*****	1.015	0.0	3.037	8.537	0.000	0.000		2.4795	2.3619	0.144	0.048	1.365	0.251	0.084	0.263	0.088	4.781	0.211	3.037	1.580	5.088	6.584	8.102	9.634	6.260	0.000	0.000	0.000	3.986	25.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.614	0.244	0.227	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.740	0.103	0.156	6.149	9.905	8.135	0.000	0.419	0.030	-0.022	-0.054	-0.025	-0.035	0.004	0.192	0.365	0.279	1.000	0.279	0.279	0.279	0.279	0.279	1.000	0.279	0.427	0.427	0.000	0.000	0.000	0.000	0	0	0	0	0	1	1	0	0	0	3.127	0.000	1	0	0	0	0	0	0.061	0.028	0.107	0.000	0.000	0	Vinylchloride.mol2	-0.90	-1.16
