No.	NAME	Me	O%	Psi_i_A	Psi_e_A	MPC10	X4Av	VR1_D/Dt	J_Dz(e)	J_Dz(i)	VE1sign_B(m)	VE2sign_B(m)	SpPosA_B(e)	VE1sign_B(e)	VE2sign_B(e)	VE1sign_B(i)	VE2sign_B(i)	AVS_B(s)	ChiA_B(s)	SpPosA_B(s)	SpMAD_B(s)	SM3_B(s)	SM4_B(s)	SM5_B(s)	SM6_B(s)	ATSC2s	MATS8m	MATS8e	MATS8s	SpMax2_Bh(s)	P_VSA_LogP_2	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_m_3	P_VSA_v_2	P_VSA_e_5	P_VSA_p_2	P_VSA_ppp_A	Eta_epsi_A	Eta_L_A	Eta_FL_A	SM08_AEA(dm)	SM09_AEA(dm)	SM09_AEA(ri)	SM10_AEA(ri)	Eig14_EA	Eig15_EA	Eig14_EA(ed)	Eig15_EA(ed)	Eig14_EA(bo)	Eig15_EA(bo)	Eig02_EA(dm)	Eig15_EA(dm)	Eig14_EA(ri)	Eig15_EA(ri)	Eig14_AEA(bo)	Eig14_AEA(dm)	Eig15_AEA(dm)	Eig14_AEA(ri)	Eig15_AEA(ri)	PJI3	VE1sign_G	VE1sign_RG	TDB01s	TDB02s	TDB03s	TDB04s	Mor06m	Mor06v	Mor28v	Mor03p	Mor28p	Mor06s	Mor14s	Mor21s	Mor31s	G1u	G3u	G1m	G1v	G1e	G1p	G1i	G3i	G1s	Gu	Gm	R5m	R5m+	R4p	R5p	nCconj	nRCOOR	nROR	nO(C=O)2	nCH2RX	C-015	C-018	C-040	O-059	O-060	SdCH2	SdssC	NdCH2	NdssC	B02[O-O]	B05[O-Cl]	F02[O-O]	F05[O-Cl]	Qmean	Q2	LDI	TPSA(NO)	SAacc	CATS3D_04_AA	Molecule	U	V
59	*****	1.021	15.8	3.093	8.593	0.000	0.052		3.9071	3.7383	0.138	0.015	1.359	0.137	0.015	0.114	0.013	5.150	0.211	3.127	2.181	6.728	8.576	10.471	12.394	33.758	0.862	0.344	0.340	6.456	20.359	32.336	14.185	78.828	78.828	78.828	78.828	78.828	0.611	0.246	0.219	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.773	0.000	0.326	4.852	8.878	13.804	14.294	0.345	-0.152	-0.061	-0.384	-0.097	-3.830	0.155	0.188	0.333	0.191	0.258	0.191	0.191	0.191	0.191	0.191	0.258	0.191	0.217	0.196	0.153	0.067	0.235	0.167	3	1	0	0	0	1	0	1	0	1	3.352	-0.104	1	2	1	0	1	0	0.128	0.635	0.230	46.530	78.828	1	methacrylate,2-hydroxyethyl.mol2	-1.45	0.34
60	*****	0.982	4.8	2.051	7.551	3.807	0.084	19.641	2.0281	1.9847	0.582	0.032	1.328	0.582	0.032	0.583	0.032	4.436	0.225	2.171	1.642	6.612	8.365	10.222	12.144	21.339	-0.760	-0.074	-0.235	4.685	30.974	32.336	14.185	36.145	36.145	36.145	36.145	36.145	0.508	0.370	0.088	-1.270	-1.473	-4.408	-4.743	-1.270	-1.473	-4.408	-4.743	-1.355	-1.473	0.000	0.000	-1.261	-1.473	-0.210	-1.123	-1.317	-0.268	-0.455	0.762	0.502	0.253	3.062	5.156	6.964	6.986	2.807	1.937	-0.858	-4.142	-0.928	2.328	4.597	-2.723	2.675	0.180	0.180	0.156	0.169	0.156	0.169	0.156	0.180	0.156	0.172	0.172	0.228	0.015	0.751	0.475	3	1	0	0	0	1	0	1	0	1	3.713	0.338	1	2	1	0	1	0	0.057	0.441	0.107	26.300	36.145	0	methacrylate,3,5-dimethyladamantyl.mol2	1.04	0.10
61	*****	0.998	8.0	2.462	7.962	1.609	0.053	12.647	2.6951	2.6144	0.127	0.010	1.359	0.127	0.010	0.123	0.009	4.853	0.212	2.535	1.854	6.606	8.380	10.241	12.160	18.421	-0.092	0.041	-0.042	4.781	20.359	32.336	17.371	36.145	36.145	36.145	36.145	36.145	0.569	0.200	0.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.841	0.035	0.322	4.330	7.842	10.859	12.079	0.576	-0.068	-0.012	-0.822	-0.053	-5.153	-0.181	-1.000	0.207	0.223	0.793	0.177	0.201	0.248	0.223	0.223	0.653	0.177	0.341	0.297	0.110	0.020	0.342	0.204	3	1	0	0	0	1	0	1	0	1	3.493	0.083	1	2	1	0	1	0	0.090	0.460	0.153	26.300	36.145	0	methacrylate,benzyl.mol2	-1.40	0.26
62	*****	0.993	8.3	2.533	8.033	0.000	0.072		3.7043	3.5779	0.128	0.013	1.315	0.127	0.013	0.103	0.010	4.586	0.230	2.578	1.804	6.439	8.263	10.165	12.112	19.036	-0.119	0.100	-0.011	4.669	25.428	32.336	14.185	36.145	36.145	36.145	36.145	36.145	0.531	0.304	0.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.791	0.083	0.177	3.761	6.492	9.108	11.263	0.262	-0.190	-0.124	-0.764	-0.180	-2.053	0.455	-0.779	1.507	0.179	0.647	0.179	0.179	0.179	0.179	0.179	0.647	0.179	0.287	0.241	0.077	0.020	0.290	0.164	3	1	0	0	0	1	0	1	0	1	3.459	0.185	1	2	1	0	1	0	0.081	0.433	0.157	26.300	36.145	0	methacrylate,butyl.mol2	-1.49	0.26
63	*****	1.020	15.0	2.667	8.167	0.000	0.049	9.578	2.4090	2.3104	0.148	0.015	1.328	0.147	0.015	0.123	0.012	4.899	0.215	2.706	1.952	6.524	8.337	10.221	12.152	25.750	0.957	0.352	0.338	4.786	24.952	43.336	14.185	47.145	47.145	47.145	47.145	47.145	0.615	0.261	0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.824	0.015	0.322	4.342	7.919	12.784	13.074	0.302	-0.044	-0.031	-0.547	-0.085	-2.840	-0.040	-0.546	0.677	0.188	0.267	0.188	0.188	0.188	0.188	0.188	0.267	0.188	0.233	0.198	0.168	0.045	0.255	0.178	3	1	1	0	0	1	0	1	1	1	3.438	0.094	1	2	1	0	1	0	0.119	0.592	0.203	38.830	47.145	0	methacrylate,glycidyl.mol2	1.32	0.34
64	*****	0.993	8.3	2.567	8.067	0.000	0.061		3.9426	3.8002	0.180	0.018	1.330	0.179	0.018	0.155	0.016	4.640	0.221	2.630	1.812	6.448	8.269	10.169	12.115	20.654	0.693	0.244	0.254	4.670	20.359	32.336	14.185	36.145	36.145	36.145	36.145	36.145	0.531	0.291	0.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.981	0.166	0.263	3.816	6.572	9.850	9.872	0.440	0.009	-0.211	-0.874	-0.277	-1.706	0.643	-0.689	1.264	0.179	0.228	0.179	0.179	0.179	0.179	0.179	0.204	0.179	0.203	0.203	0.125	0.030	0.331	0.166	3	1	0	0	0	1	0	1	0	1	3.458	0.161	1	2	1	0	1	0	0.080	0.433	0.160	26.300	36.145	0	methacrylate,isobutyl.mol2	-1.43	0.27
65	*****	1.013	13.3	2.976	8.476	0.000	0.087		4.0061	3.8676	0.163	0.023	1.353	0.162	0.023	0.139	0.020	5.046	0.203	3.019	2.025	6.380	8.237	10.155	12.110	21.608	0.000	0.000	0.000	4.678	15.767	32.336	14.185	36.145	36.145	36.145	36.145	36.145	0.589	0.211	0.244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.078	0.193	4.835	8.797	15.702	14.229	0.206	-0.021	-0.099	-0.126	-0.143	-1.198	-0.924	-0.565	0.426	0.204	0.389	0.204	0.204	0.204	0.204	0.204	0.325	0.204	0.253	0.279	0.035	0.004	0.253	0.158	3	1	0	0	0	1	0	1	0	1	3.351	0.086	1	2	1	0	1	0	0.111	0.426	0.209	26.300	36.145	0	methacrylate,methyl.mol2	-1.18	0.23
66	*****	1.003	9.1	2.542	8.042	0.000	0.043	11.644	2.9904	2.8801	0.067	0.006	1.370	0.067	0.006	0.077	0.006	4.963	0.207	2.614	1.867	6.589	8.372	10.238	12.160	15.800	0.334	0.205	0.180	4.839	15.767	32.336	19.429	36.145	36.145	36.145	36.145	36.145	0.588	0.182	0.293	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.836	0.010	0.325	4.640	8.741	12.296	14.211	0.860	0.266	0.004	-0.823	-0.039	-0.238	-1.894	-1.690	1.157	0.211	0.285	0.183	0.183	0.183	0.183	0.183	0.224	0.183	0.233	0.216	0.175	0.041	0.289	0.173	3	1	0	0	0	1	0	1	0	1	3.477	0.014	1	2	1	0	1	0	0.092	0.421	0.172	26.300	36.145	0	methacrylate,phenyl.mol2	-2.22	0.62
67	*****	1.025	16.7	3.556	9.056	0.000	0.000		3.8122	3.7357	0.078	0.013	1.395	0.076	0.013	0.051	0.008	5.635	0.191	3.600	2.415	6.616	8.506	10.429	12.373	34.765	0.000	0.000	0.000	6.351	15.767	68.738	3.186	67.828	67.828	67.828	67.828	67.828	0.628	0.194	0.246	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.866	0.039	0.335	5.679	13.151	18.720	15.309	0.014	-0.058	-0.035	-0.181	-0.064	-4.657	-0.892	1.015	-0.640	0.218	0.281	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.237	0.218	0.004	0.001	0.289	0.074	3	0	0	0	0	1	0	1	0	0	3.155	-0.759	1	2	1	0	1	0	0.141	0.504	0.283	37.300	67.828	0	methacrylicacid.mol2	-0.95	0.39
68	*****	0.990	7.1	2.889	8.389	0.000	0.000		3.6450	3.6216	0.045	0.007	1.351	0.044	0.007	0.029	0.005	4.968	0.207	2.949	1.984	6.263	8.154	10.100	12.073	7.694	0.000	0.000	0.000	4.640	15.767	30.278	3.186	25.145	25.145	25.145	25.145	25.145	0.526	0.219	0.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.591	0.017	0.006	4.225	6.982	14.311	11.346	0.344	0.197	-0.003	-0.093	-0.038	0.094	1.102	-1.438	0.707	0.259	0.461	0.208	0.208	0.259	0.208	0.208	0.377	0.208	0.292	0.271	0.009	0.001	0.332	0.177	3	0	0	0	0	1	0	0	0	0	3.405	0.685	1	2	0	0	0	0	0.063	0.131	0.112	17.070	25.145	0	methacryloacetone	-1.98	0.88
