No.	NAME	nCL	C%	X%	SpMAD_L	SpDiam_B(m)	ChiA_B(v)	SpMax_B(v)	SpDiam_B(v)	SpMAD_B(v)	SM6_B(v)	ChiA_B(e)	SpMax_B(e)	SpDiam_B(e)	SpMAD_B(e)	ChiA_B(p)	SpMax_B(p)	SpDiam_B(p)	SpMAD_B(p)	SM5_B(p)	SM6_B(p)	ChiA_B(i)	SpMax_B(i)	SpDiam_B(i)	ATS4e	ATS4i	ATS4s	MATS2m	MATS1v	MATS2v	MATS3v	MATS2e	MATS1p	MATS3p	MATS1i	MATS2i	MATS3i	MATS2s	GATS4m	GATS3v	GATS4e	GATS3p	GATS1i	GATS3i	GATS4s	SpMax1_Bh(v)	SpMax1_Bh(p)	SpMax1_Bh(i)	SpMin1_Bh(m)	SpMin1_Bh(v)	SpMin1_Bh(e)	SpMin1_Bh(p)	SpMin1_Bh(i)	P_VSA_LogP_6	P_VSA_m_4	P_VSA_ppp_P	P_VSA_ppp_con	Eta_betaP	Eta_betaP_A	Eta_beta_A	Eta_F_A	Eta_sh_y	SpMax_EA(bo)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMAD_EA(dm)	SpMax_EA(ri)	SpDiam_EA(ri)	SpMAD_EA(ri)	SpMax_AEA(bo)	SpMAD_AEA(bo)	SpMax_AEA(ri)	SM03_EA	SM05_EA	SM09_EA	SM03_EA(ed)	SM03_EA(bo)	SM04_EA(bo)	SM05_EA(bo)	SM07_EA(bo)	SM08_EA(bo)	SM09_EA(bo)	SM10_EA(bo)	SM11_EA(bo)	SM12_EA(bo)	SM13_EA(bo)	SM14_EA(bo)	SM15_EA(bo)	SM03_EA(dm)	SM05_EA(dm)	SM07_EA(dm)	SM09_EA(dm)	SM11_EA(dm)	SM13_EA(dm)	SM15_EA(dm)	SM03_EA(ri)	SM04_EA(ri)	SM05_EA(ri)	SM06_EA(ri)	SM08_EA(ri)	SM09_EA(ri)	SM10_EA(ri)	SM11_EA(ri)	SM12_EA(ri)	SM13_EA(ri)	SM14_EA(ri)	SM15_EA(ri)	SM04_AEA(bo)	SM05_AEA(bo)	SM06_AEA(bo)	SM07_AEA(bo)	SM08_AEA(bo)	SM11_AEA(ri)	Eig01_EA(bo)	Eig05_EA(dm)	Eig01_EA(ri)	Eig01_AEA(bo)	Eig01_AEA(ri)	SpPosA_RG	SpMAD_RG	WiA_G/D	Chi_G/D	TDB04u	TDB02m	TDB03m	TDB01e	TDB02e	TDB04e	TDB01i	TDB02i	TDB03i	TDB04i	Mor23m	Mor24m	Mor13p	G2v	G2e	G2p	G2i	HATS3u	HATS4u	HATS3m	HATS0v	HATS2v	HATS3v	HATS4v	HATS0e	HATS2e	HATS3e	HATS4e	HATS2p	HATS3p	HATS4p	HATSp	HATS2i	HATS3i	HATS4i	HATS3s	HATS4s	R3m	R2m+	R3m+	R4v	R3v+	R3e+	R2p+	R3p+	R4s	R4s+	nCconj	nR=Ct	nR=CX2	C-017	C-018	C-020	H-048	NdssC	NsCl	CATS2D_03_AL	B02[C-C]	B02[Cl-Cl]	B03[Cl-Cl]	F02[Cl-Cl]	F03[Cl-Cl]	Ui	Molecule	U	V
83	*****	1	47.4	5.3	1.369	5.359	0.284	3.644	5.280	1.572	8.109	0.282	3.645	5.280	1.573	0.283	3.645	5.280	1.573	6.910	8.118	0.283	3.644	5.280	3.579	3.827	4.527	-0.187	-0.000	-0.113	-0.148	-0.153	-0.000	-0.119	-0.000	-0.005	-0.228	-0.211	1.101	1.058	1.073	0.996	0.992	1.191	1.115	3.883	3.892	3.965	2.044	2.021	1.935	2.002	1.910	0.000	39.149	0.000	69.519	7.500	0.750	1.275	0.642	0.192	3.657	6.657	1.873	0.206	2.619	4.619	1.312	4.046	1.401	3.634	2.565	4.796	8.795	5.784	3.332	5.922	6.229	8.931	10.680	11.575	13.168	14.198	15.692	16.811	18.240	19.418	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	2.565	4.590	4.745	6.239	7.995	8.697	9.812	10.623	11.669	12.543	13.552	14.461	6.207	7.492	8.806	10.139	11.485	3.657	3.657	0.000	2.619	4.046	3.634	0.424	0.847	1.065	0.961	4.003	1.292	1.608	1.273	2.254	3.892	1.399	2.611	3.690	4.943	0.040	0.098	-0.335	0.191	0.191	0.191	0.191	0.476	0.879	0.256	0.468	0.169	0.176	0.238	0.936	0.599	0.463	0.884	0.246	0.223	0.342	3.907	0.747	0.605	1.174	1.271	2.350	0.531	0.131	0.163	0.372	0.060	0.075	0.077	0.068	3.326	0.380	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2.322	Styrene,p-chloromethyl.mol2	-0.62	0.21
84	*****	0	47.4	0.0	1.390	5.279	0.278	3.643	5.279	1.544	8.070	0.278	3.643	5.279	1.544	0.278	3.643	5.279	1.544	6.850	8.070	0.278	3.643	5.279	3.544	3.832	4.326	0.027	-0.000	0.027	-0.240	0.027	-0.000	-0.240	-0.000	0.027	-0.240	0.021	1.161	1.194	1.161	1.194	1.000	1.194	1.199	3.879	3.887	3.966	2.061	2.028	1.936	2.009	1.910	0.000	0.000	0.000	69.519	7.500	0.833	1.333	0.651	0.222	3.639	6.639	1.951	0.000	2.607	4.607	1.390	4.024	1.442	3.607	2.565	4.710	8.639	5.602	3.332	5.884	6.184	8.872	10.633	11.510	13.113	14.127	15.629	16.734	18.169	19.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.565	4.554	4.710	6.196	7.946	8.639	9.756	10.558	11.606	12.472	13.480	14.384	6.160	7.443	8.752	10.080	11.420	3.639	3.639	0.000	2.607	4.024	3.607	0.442	0.883	1.050	0.972	3.962	0.995	1.035	1.209	2.125	3.709	1.361	2.547	3.670	4.914	-0.170	0.139	-0.226	0.191	0.191	0.191	0.191	0.391	0.863	0.053	0.101	0.097	0.106	0.131	0.880	0.655	0.364	0.783	0.155	0.144	0.207	2.105	1.022	0.491	1.178	0.758	1.258	0.211	0.028	0.022	0.255	0.022	0.064	0.050	0.025	2.222	0.127	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.322	styrene,p-methyl.mol2	-0.20	0.08
85	*****	0	50.0	0.0	1.355	5.155	0.282	3.580	5.155	1.643	7.926	0.282	3.580	5.155	1.643	0.282	3.580	5.155	1.643	6.722	7.926	0.282	3.580	5.155	3.155	3.430	4.001	-0.167	-0.000	-0.167	-0.103	-0.167	-0.000	-0.103	-0.000	-0.167	-0.103	-0.188	1.172	1.034	1.172	1.034	0.937	1.034	1.220	3.851	3.860	3.942	2.041	2.008	1.914	1.989	1.886	0.000	0.000	0.000	75.810	7.500	0.937	1.437	0.660	0.125	3.486	6.486	1.963	0.000	2.499	4.499	1.355	3.918	1.400	3.499	1.946	4.111	8.080	5.094	2.674	5.660	5.581	8.302	10.291	10.935	12.705	13.522	15.145	16.081	17.601	18.621	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.946	4.263	4.111	5.838	7.530	8.080	9.282	9.976	11.066	11.845	12.869	13.700	5.936	7.176	8.450	9.748	11.064	3.486	3.486	0.000	2.499	3.918	3.499	0.485	0.970	1.054	0.981	4.033	1.023	0.948	1.181	2.112	3.781	1.318	2.471	3.630	4.982	-0.243	0.063	-0.360	0.286	0.310	0.337	0.438	0.785	0.685	0.060	0.116	0.111	0.130	0.144	0.832	0.464	0.712	0.630	0.157	0.195	0.208	2.277	0.660	1.077	0.896	1.135	1.231	0.201	0.042	0.029	0.232	0.029	0.183	0.051	0.030	1.900	0.140	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.322	Styrene.mol2	0.00	0.00
86	*****	0	37.5	0.0	1.411	4.967	0.289	3.480	4.997	1.506	7.811	0.277	3.647	4.967	1.499	0.295	3.426	5.029	1.526	6.550	7.717	0.277	3.658	4.962	3.192	3.322	5.079	0.117	-0.101	-0.070	0.089	0.215	-0.206	0.065	-0.433	-0.161	0.206	0.020	1.536	0.788	1.608	0.795	1.660	0.727	1.583	3.703	3.679	3.907	1.783	1.759	1.550	1.785	1.502	11.771	0.000	0.000	0.000	4.000	0.444	1.083	0.640	0.344	3.414	5.414	1.760	0.925	2.900	4.746	1.442	4.192	1.482	3.961	2.944	5.352	9.833	6.358	3.434	5.407	6.089	8.592	9.907	11.057	12.313	13.512	14.749	15.966	17.197	18.421	2.221	3.794	5.252	6.671	8.077	9.479	10.885	2.909	4.711	5.234	6.565	8.584	9.572	10.671	11.707	12.785	13.839	14.908	15.969	6.188	7.503	8.851	10.221	11.608	3.414	3.414	0.000	2.900	4.192	3.961	0.428	0.855	1.058	0.971	4.093	1.337	1.414	1.318	2.333	4.538	1.460	2.732	4.013	5.192	0.179	-0.140	-0.117	0.200	0.200	0.200	0.200	1.211	0.685	0.181	0.133	0.130	0.217	0.198	0.832	0.596	1.240	0.828	0.175	0.254	0.184	2.096	0.852	1.712	0.937	4.219	6.524	0.446	0.073	0.057	0.285	0.031	0.148	0.032	0.024	7.681	2.250	0	0	0	0	1	0	1	2	0	2	1	0	0	0	0	2.000	succinimide,n-vinyl.mol2	0.75	-1.02
87	*****	0	27.3	0.0	1.329	4.952	0.293	3.431	4.901	1.607	7.590	0.274	3.711	4.951	1.617	0.301	3.347	4.908	1.606	6.275	7.455	0.268	3.810	4.987	2.434	2.701	3.664	0.047	-0.252	-0.046	0.042	0.095	-0.389	0.103	-0.066	-0.076	-0.116	0.000	1.370	0.944	1.248	0.869	1.297	0.964	1.375	3.588	3.536	3.942	1.749	1.795	1.567	1.819	1.495	11.771	0.000	0.000	84.953	5.500	0.786	1.393	0.637	0.129	3.520	6.138	1.929	0.000	2.378	4.150	1.277	3.941	1.399	3.465	1.946	4.263	8.239	5.094	2.674	5.549	5.833	8.592	10.211	11.217	12.660	13.787	15.142	16.331	17.640	18.861	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.768	3.963	3.955	5.445	7.056	7.706	8.728	9.482	10.430	11.237	12.147	12.982	5.830	7.089	8.385	9.706	11.043	3.520	3.520	0.000	2.378	3.941	3.465	0.417	0.834	1.083	0.991	3.931	1.559	1.349	1.420	2.444	4.109	1.692	3.047	4.323	5.413	-0.341	-0.097	-0.069	0.224	0.224	0.224	0.224	0.401	0.426	0.083	0.134	0.098	0.100	0.114	0.490	0.295	0.410	0.440	0.097	0.115	0.131	1.183	0.395	0.583	0.608	1.154	1.428	0.186	0.113	0.057	0.147	0.037	0.105	0.051	0.031	1.824	0.395	2	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2.170	tetrazole,1-vinyl.mol2	-0.78	-0.59
88	*****	0	37.5	0.0	1.464	6.277	0.273	3.854	5.726	1.576	8.565	0.266	3.968	5.734	1.576	0.274	3.978	5.792	1.606	7.399	8.695	0.267	3.903	5.723	4.060	4.234	5.552	0.173	-0.041	0.103	-0.113	0.374	-0.193	-0.276	-0.328	0.264	-0.242	0.248	1.385	1.129	2.089	1.580	1.529	1.352	2.023	3.972	4.065	4.053	1.997	2.072	1.961	2.030	1.969	11.771	5.807	0.000	48.932	10.000	0.769	1.346	0.904	0.141	4.756	7.756	2.043	0.062	3.190	5.190	1.391	4.924	1.494	4.414	3.611	6.236	11.260	7.545	4.527	6.663	7.780	10.918	12.536	14.038	15.618	17.155	18.722	20.273	21.835	23.391	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.356	5.107	5.791	7.140	9.351	10.447	11.629	12.765	13.932	15.082	16.245	17.401	6.845	8.293	9.787	11.313	12.860	4.756	4.756	0.000	3.190	4.924	4.414	0.417	0.833	1.016	0.994	3.994	1.918	2.200	1.356	2.461	4.304	1.450	2.800	3.827	5.090	0.064	0.327	-0.082	0.179	0.179	0.179	0.228	0.562	0.916	0.296	0.150	0.159	0.220	0.278	0.523	0.446	0.579	1.034	0.171	0.256	0.290	2.981	0.526	0.703	1.226	2.359	5.670	0.826	0.169	0.075	0.534	0.034	0.071	0.055	0.046	9.335	0.876	0	0	0	0	1	0	1	0	0	6	1	0	0	0	0	2.807	toluenesulfonamide,N,N-vinyl,methyl.mol2	-0.40	0.66
89	*****	0	35.7	0.0	1.379	5.111	0.302	3.492	5.106	1.435	8.549	0.286	3.639	5.110	1.438	0.311	3.443	5.135	1.455	7.323	8.458	0.289	3.606	5.102	4.639	4.799	6.172	0.048	-0.087	-0.083	-0.081	0.118	-0.191	-0.121	-0.212	-0.146	-0.130	0.044	1.011	1.031	1.429	1.113	1.506	1.141	1.421	3.692	3.667	3.861	1.888	1.924	1.740	1.951	1.726	0.000	0.000	0.000	0.000	7.500	0.341	0.932	0.932	0.153	3.646	5.646	1.608	0.972	3.311	5.197	1.294	4.519	1.438	4.407	3.761	6.275	11.154	7.542	4.111	6.066	6.746	9.265	10.592	11.781	13.069	14.316	15.598	16.870	18.154	19.436	3.268	5.396	7.334	9.203	11.044	12.871	14.693	3.655	5.429	6.083	7.435	9.675	10.808	12.011	13.186	14.383	15.573	16.769	17.963	6.939	8.254	9.612	11.000	12.414	3.646	3.646	0.828	3.311	4.519	4.407	0.433	0.866	0.973	0.993	3.791	1.255	1.502	1.337	2.390	4.219	1.438	2.700	3.793	4.904	0.208	0.105	-0.437	0.169	0.156	0.156	0.174	0.319	0.323	0.074	0.086	0.077	0.075	0.069	0.290	0.266	0.325	0.345	0.095	0.087	0.071	2.686	0.349	0.428	0.455	1.314	1.581	0.447	0.038	0.048	0.337	0.020	0.048	0.030	0.013	6.701	0.864	0	0	0	0	0	0	0	3	0	7	1	0	0	0	0	2.807	triallylcitrate.mol2	-0.49	-1.30
90	*****	1	30.8	7.7	1.244	4.448	0.344	2.934	3.993	1.352	6.806	0.328	3.082	3.996	1.353	0.349	2.895	4.033	1.367	5.758	6.774	0.332	3.047	3.986	2.454	2.676	3.409	-0.234	-0.184	-0.239	0.062	-0.323	-0.253	0.083	-0.457	-0.228	0.374	-0.249	0.623	0.782	0.259	0.786	1.788	0.401	0.665	3.404	3.404	3.639	1.755	1.770	1.528	1.765	1.486	11.771	39.149	0.000	0.000	1.000	0.167	0.708	0.344	0.000	1.902	3.804	1.231	0.344	1.430	2.860	0.880	2.919	1.165	2.575	0.000	0.000	0.000	-0.000	0.000	3.434	0.000	0.000	5.861	0.000	7.132	0.000	8.412	0.000	9.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.310	0.000	2.920	3.591	0.000	4.287	0.000	4.995	0.000	5.706	0.000	4.654	5.642	6.654	7.679	8.714	1.902	1.902	-0.860	1.430	2.919	2.575	0.416	0.832	1.044	0.922	3.877	1.045	1.466	1.334	2.338	3.801	1.459	2.783	3.942	4.677	0.032	-0.074	0.055	0.213	0.329	0.213	0.213	1.072	0.373	0.085	0.160	0.147	0.137	0.083	0.922	0.814	1.024	0.346	0.236	0.234	0.119	2.356	1.140	1.537	0.490	1.835	0.756	0.186	0.091	0.069	0.134	0.030	0.146	0.065	0.049	1.130	0.174	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1.000	Vinyl2-chloroethylether.mol2	1.18	-2.06
91	*****	0	33.3	0.0	1.294	4.520	0.315	3.159	4.516	1.329	7.187	0.296	3.378	4.520	1.334	0.325	3.082	4.550	1.360	5.966	7.067	0.299	3.331	4.510	2.325	2.478	3.836	0.233	-0.237	-0.043	0.088	0.279	-0.426	0.463	-0.456	-0.251	0.502	0.252	1.238	0.659	0.744	0.293	1.690	0.296	1.033	3.399	3.371	3.629	1.736	1.750	1.505	1.770	1.475	11.771	0.000	0.000	0.000	2.500	0.417	0.958	0.545	0.187	2.732	4.732	1.659	1.092	2.107	3.542	1.212	3.562	1.352	3.179	1.946	3.714	7.071	4.290	2.565	4.394	4.796	6.917	8.129	8.983	10.096	11.023	12.085	13.048	14.084	15.066	2.243	4.269	6.158	7.992	9.802	11.599	13.391	1.911	3.302	3.571	4.602	6.017	6.676	7.478	8.185	8.955	9.684	10.441	11.178	5.347	6.548	7.769	9.001	10.243	2.732	2.732	-1.731	2.107	3.562	3.179	0.425	0.851	1.036	0.930	3.984	1.083	0.981	1.299	2.308	4.037	1.414	2.709	3.974	4.768	0.049	-0.039	0.017	0.218	0.349	0.218	0.281	0.691	0.252	0.091	0.167	0.116	0.131	0.090	1.266	0.873	0.811	0.278	0.180	0.131	0.091	1.864	1.352	0.998	0.321	3.988	1.748	0.162	0.099	0.060	0.136	0.032	0.190	0.055	0.026	2.430	1.070	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1.585	Vinylacetate.mol2	-0.44	-1.56
92	*****	0	47.4	0.0	1.397	5.280	0.286	3.617	5.276	1.586	8.168	0.277	3.671	5.279	1.589	0.291	3.604	5.302	1.605	6.929	8.126	0.279	3.657	5.272	3.429	3.591	4.870	-0.052	-0.042	-0.152	0.012	0.238	-0.100	-0.072	-0.112	-0.117	-0.093	0.113	1.170	0.931	1.762	1.016	1.101	1.038	1.762	3.843	3.845	3.937	2.014	1.995	1.897	1.988	1.874	11.771	0.000	0.000	82.903	8.500	0.773	1.341	0.783	0.194	3.672	6.672	1.943	0.304	2.752	4.752	1.363	4.142	1.432	3.775	2.565	4.875	9.151	5.889	3.277	5.917	6.148	8.882	10.656	11.559	13.163	14.208	15.707	16.841	18.273	19.464	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	2.546	4.636	4.826	6.356	8.234	9.053	10.189	11.106	12.180	13.145	14.188	15.177	6.307	7.579	8.888	10.223	11.579	3.672	3.672	0.000	2.752	4.142	3.775	0.428	0.855	1.055	0.974	4.054	1.360	1.462	1.299	2.356	4.292	1.396	2.620	3.759	5.056	-0.168	0.113	-0.259	0.191	0.191	0.191	0.191	0.668	0.506	0.105	0.133	0.123	0.137	0.136	0.678	0.406	0.630	0.537	0.159	0.177	0.143	2.586	0.535	0.908	0.681	1.466	2.489	0.370	0.052	0.057	0.279	0.031	0.117	0.043	0.031	4.469	0.878	1	0	0	0	1	0	1	1	0	4	1	0	0	0	0	2.585	VinylBenzoate.mol2	-0.86	1.45
93	*****	0	43.5	0.0	1.365	5.189	0.292	3.597	5.189	1.527	8.101	0.286	3.599	5.189	1.529	0.295	3.596	5.189	1.537	6.904	8.094	0.287	3.599	5.189	3.880	4.123	4.942	-0.185	0.033	-0.127	-0.029	-0.133	0.070	-0.047	0.077	-0.062	-0.051	-0.207	1.052	1.011	0.889	1.032	1.015	1.033	0.799	3.875	3.883	3.970	2.063	2.034	1.935	2.017	1.907	0.000	0.000	0.000	50.567	7.000	0.636	1.159	0.655	0.187	3.558	6.558	1.807	0.124	2.809	4.809	1.350	4.077	1.407	3.815	2.565	4.949	9.278	6.071	3.020	5.803	5.873	8.570	10.441	11.205	12.886	13.807	15.364	16.390	17.862	18.960	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.565	4.725	4.934	6.481	8.397	9.247	10.391	11.337	12.423	13.414	14.473	15.486	6.209	7.471	8.769	10.095	11.440	3.558	3.558	0.000	2.809	4.077	3.815	0.451	0.901	1.011	0.997	3.904	1.007	1.067	1.249	2.210	3.791	1.390	2.588	3.715	4.819	-0.107	0.088	-0.335	0.181	0.181	0.181	0.233	0.675	0.743	0.084	0.098	0.116	0.139	0.175	0.469	0.402	0.630	0.709	0.147	0.189	0.225	2.495	0.518	0.909	0.983	1.267	1.813	0.328	0.038	0.049	0.415	0.032	0.091	0.038	0.032	3.885	0.661	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2.322	vinylbenzylmethylcarbinol	-0.66	0.18
94	*****	0	33.3	16.7	1.111	7.473	0.336	2.928	3.755	1.282	6.453	0.340	2.904	3.747	1.267	0.322	3.045	3.819	1.346	5.595	6.694	0.345	2.881	3.744	0.000	0.000	0.000	-0.174	-0.112	-0.260	-0.219	-0.167	-0.029	-0.429	-0.267	-0.389	0.167	-0.061	0.000	1.199	0.000	1.548	1.167	0.556	0.000	3.314	3.393	3.470	1.595	1.600	1.416	1.545	1.368	11.771	0.000	0.000	0.000	1.000	0.333	0.667	0.113	0.000	1.414	2.828	1.414	0.000	0.548	1.095	0.548	2.618	1.118	1.709	0.000	0.000	0.000	0.000	0.000	2.197	0.000	0.000	3.497	0.000	4.174	0.000	4.860	0.000	5.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.166	-0.000	0.053	0.016	0.000	0.005	0.000	0.001	0.000	0.000	0.000	3.871	4.820	5.778	6.738	7.700	1.414	1.414	0.000	0.548	2.618	1.709	0.392	0.784	1.156	0.848	0.000	3.458	0.966	1.314	2.280	0.000	1.442	2.749	4.191	0.000	-0.097	-0.090	0.005	0.279	0.279	0.279	0.279	0.864	0.000	0.272	0.655	0.182	0.190	0.000	1.001	0.576	0.870	0.000	0.314	0.373	0.000	2.734	0.727	1.168	0.000	1.706	0.000	0.166	0.476	0.097	0.000	0.059	0.191	0.143	0.114	0.000	0.000	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1.000	Vinylbromide.mol2	-0.82	1.27
95	*****	0	31.6	0.0	1.243	4.463	0.335	3.045	4.004	1.306	7.078	0.337	3.019	3.999	1.302	0.328	3.184	4.069	1.328	6.193	7.276	0.339	2.984	4.000	3.334	3.641	3.929	-0.147	-0.049	-0.195	-0.016	-0.159	0.042	-0.068	-0.029	-0.190	-0.026	-0.070	0.983	0.955	0.983	1.100	1.218	0.982	1.013	3.555	3.626	3.748	1.951	1.899	1.695	1.851	1.638	11.771	32.220	0.000	0.000	1.000	0.143	0.571	0.105	0.000	1.932	3.864	1.288	0.983	1.606	3.212	1.028	2.942	1.216	2.692	0.000	0.000	0.000	0.000	0.000	3.611	0.000	0.000	6.043	0.000	7.322	0.000	8.618	0.000	9.925	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.832	0.000	3.647	4.533	0.000	5.453	0.000	6.389	0.000	7.331	0.000	4.820	5.808	6.821	7.846	8.881	1.932	1.932	0.000	1.606	2.942	2.692	0.437	0.874	1.057	0.901	3.871	0.866	0.806	1.227	2.079	3.646	1.390	2.600	3.742	4.823	0.045	-0.021	0.345	0.191	0.258	0.258	0.191	0.952	0.700	0.043	0.078	0.096	0.109	0.094	0.545	0.501	0.860	0.635	0.160	0.204	0.163	2.132	0.732	1.335	0.972	1.104	0.925	0.141	0.103	0.040	0.183	0.018	0.091	0.063	0.033	1.651	0.111	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1.000	vinylbutylsulfide.mol2	0.14	-0.43
96	*****	1	33.3	16.7	1.111	4.326	0.343	2.888	3.744	1.258	6.369	0.337	2.923	3.753	1.279	0.338	2.917	3.751	1.275	5.366	6.430	0.341	2.900	3.746	0.000	0.000	0.000	-0.169	-0.169	-0.307	-0.079	-0.170	-0.113	-0.216	-0.382	-0.485	0.455	-0.000	0.000	0.964	0.000	1.194	1.455	0.075	0.000	3.293	3.326	3.477	1.624	1.609	1.411	1.565	1.360	11.771	39.149	0.000	0.000	1.000	0.333	0.750	0.300	0.000	1.414	2.828	1.414	0.000	0.632	1.265	0.632	2.618	1.118	1.744	0.000	0.000	0.000	0.000	0.000	2.197	0.000	0.000	3.497	0.000	4.174	0.000	4.860	0.000	5.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.278	0.000	0.120	0.050	0.000	0.020	0.000	0.008	0.000	0.003	0.000	3.871	4.820	5.778	6.738	7.700	1.414	1.414	0.000	0.632	2.618	1.744	0.398	0.796	1.131	0.863	0.000	1.507	0.417	1.312	2.305	0.000	1.446	2.791	4.319	0.000	-0.002	-0.003	0.112	0.279	0.279	0.279	0.279	0.869	0.000	0.121	0.453	0.155	0.164	0.000	1.057	0.601	0.916	0.000	0.234	0.281	0.000	1.785	0.767	1.235	0.000	2.350	0.000	0.078	0.219	0.044	0.000	0.051	0.212	0.106	0.084	0.000	0.000	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1.000	Vinylchloride.mol2	-0.90	-1.16
97	*****	1	33.3	8.3	1.304	4.784	0.318	3.186	4.552	1.412	7.283	0.300	3.395	4.553	1.409	0.325	3.125	4.594	1.444	6.106	7.200	0.304	3.348	4.544	2.356	2.473	3.923	-0.207	-0.166	-0.207	0.203	-0.000	-0.247	0.236	-0.454	-0.267	0.486	-0.012	0.748	0.581	0.780	0.601	1.673	0.333	1.025	3.421	3.399	3.628	1.688	1.723	1.496	1.747	1.477	11.771	39.149	0.000	0.000	2.500	0.357	0.929	0.535	0.148	2.828	4.828	1.537	1.068	2.162	3.609	1.088	3.648	1.262	3.280	1.946	3.932	7.548	4.691	2.565	4.554	4.949	7.162	8.400	9.302	10.435	11.409	12.493	13.502	14.563	15.587	2.243	4.458	6.470	8.404	10.306	12.196	14.079	1.911	3.424	3.674	4.763	6.224	6.905	7.733	8.466	9.262	10.016	10.798	11.562	5.451	6.664	7.905	9.161	10.427	2.828	2.828	-1.410	2.162	3.648	3.280	0.402	0.804	1.043	0.931	3.800	1.657	2.917	1.412	2.564	4.106	1.482	2.843	4.131	4.575	0.072	-0.113	0.014	0.218	0.281	0.218	0.218	0.931	0.270	0.693	0.283	0.257	0.274	0.106	1.208	1.064	1.181	0.304	0.339	0.238	0.106	2.692	1.367	1.333	0.343	8.138	2.028	0.798	0.187	0.465	0.159	0.092	0.200	0.083	0.067	2.260	1.056	0	0	0	0	1	0	1	1	1	2	1	0	0	0	0	1.585	vinylchloroacetate.mol2	-0.98	-1.30
98	*****	1	37.5	12.5	1.312	4.966	0.303	3.262	4.605	1.417	7.191	0.291	3.388	4.611	1.448	0.305	3.246	4.640	1.437	6.010	7.162	0.294	3.351	4.600	1.772	1.902	3.145	0.203	-0.104	-0.103	0.063	0.381	-0.091	0.039	-0.230	-0.367	-0.145	0.233	2.671	0.907	2.673	0.887	1.305	0.909	2.603	3.460	3.462	3.614	1.715	1.709	1.536	1.699	1.507	39.149	39.149	0.000	55.837	3.000	0.600	1.100	0.542	0.196	2.814	4.814	1.671	0.967	1.859	3.349	1.065	3.596	1.389	3.090	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.356	2.893	2.759	3.977	5.125	5.440	6.308	6.733	7.511	8.006	8.728	9.267	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	1.859	3.596	3.090	0.387	0.773	1.127	0.863	3.941	2.765	2.155	1.392	2.583	4.791	1.467	2.804	4.042	5.593	0.121	-0.033	0.085	0.250	0.250	0.250	0.364	0.623	0.507	0.228	0.349	0.200	0.168	0.121	0.876	0.500	0.682	0.618	0.177	0.211	0.166	1.689	0.519	0.863	0.722	3.161	2.790	0.297	0.626	0.148	0.087	0.055	0.163	0.090	0.064	2.225	0.954	3	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1.585	Vinylchloromethylketone.mol2	-1.58	0.97
